source_input,source_path,run_number,date,benchmark_name,model_id,tokenizer_id,backend,endpoint_type,num_prompts,request_rate,burstiness,max_concurrency,gpu_memory_utilization,max_model_len,max_num_seqs,max_num_batched_tokens,random_input_len,random_output_len,completed,failed,error_rate,duration,request_throughput,output_throughput,total_token_throughput,p99_ttft_ms,p99_itl_ms,p99_e2el_ms,mean_ttft_ms,mean_itl_ms,mean_e2el_ms,workload_fingerprint,engine_fingerprint,hardware_fingerprint,serve_config_fingerprint,candidate_key,meets_strict,meets_balanced,max_concurrency_under_strict,max_concurrency_under_balanced
fixtures/runs/qwen3_4b_5090_short_smoke.raw.zip,qwen3_4b_5090_short_smoke/20260314_103315/SERVE--gpu_memory_utilization=0.9-max_model_len=1024-max_num_seqs=32-max_num_batched_tokens=8192-BENCH--random_input_len=256-random_output_len=128/max_concurrency=1/run=0.json,0,20260314-104320,short,Qwen/Qwen3-4B,Qwen/Qwen3-4B,vllm,vllm,400,inf,1.0,1,0.9,1024,32,8192,256,128,400,0,0.0,378.4153005409753,1.057039711206623,135.30108303444774,405.9032491033433,58.130250651156516,6.5428874688223,0.0,166.6976865855395,6.13395102050339,0.0,short|256|128|400|inf|1.0,vllm|vllm|Qwen/Qwen3-4B|Qwen/Qwen3-4B|||,unknown_gpu|unknown_vram|unknown_host,0.9|1024|32|8192|Qwen/Qwen3-4B,short|256|128|400|inf|1.0|0.9|1024|32|8192|Qwen/Qwen3-4B|1,True,True,2,2
fixtures/runs/qwen3_4b_5090_short_smoke.raw.zip,qwen3_4b_5090_short_smoke/20260314_103315/SERVE--gpu_memory_utilization=0.9-max_model_len=1024-max_num_seqs=32-max_num_batched_tokens=8192-BENCH--random_input_len=256-random_output_len=128/max_concurrency=2/run=0.json,0,20260314-104639,short,Qwen/Qwen3-4B,Qwen/Qwen3-4B,vllm,vllm,400,inf,1.0,2,0.9,1024,32,8192,256,128,400,0,0.0,188.43112895300146,2.1227915059606106,271.71731276295816,815.1519382888745,88.29611966735682,7.242008933098988,0.0,79.80679158179555,6.788335924679665,0.0,short|256|128|400|inf|1.0,vllm|vllm|Qwen/Qwen3-4B|Qwen/Qwen3-4B|||,unknown_gpu|unknown_vram|unknown_host,0.9|1024|32|8192|Qwen/Qwen3-4B,short|256|128|400|inf|1.0|0.9|1024|32|8192|Qwen/Qwen3-4B|2,True,True,2,2
fixtures/runs/qwen3_4b_5090_short_smoke.raw.zip,qwen3_4b_5090_short_smoke/20260314_103315/SERVE--gpu_memory_utilization=0.92-max_model_len=1024-max_num_seqs=128-max_num_batched_tokens=8192-BENCH--random_input_len=256-random_output_len=128/max_concurrency=1/run=0.json,0,20260314-110307,short,Qwen/Qwen3-4B,Qwen/Qwen3-4B,vllm,vllm,400,inf,1.0,1,0.92,1024,128,8192,256,128,400,0,0.0,327.61067453899886,1.2209614371169824,156.28306395097374,468.8491918529212,33.05676072253844,6.6365076997317365,0.0,28.45269075332908,6.222743241023225,0.0,short|256|128|400|inf|1.0,vllm|vllm|Qwen/Qwen3-4B|Qwen/Qwen3-4B|||,unknown_gpu|unknown_vram|unknown_host,0.92|1024|128|8192|Qwen/Qwen3-4B,short|256|128|400|inf|1.0|0.92|1024|128|8192|Qwen/Qwen3-4B|1,True,True,1,2
fixtures/runs/qwen3_4b_5090_short_smoke.raw.zip,qwen3_4b_5090_short_smoke/20260314_103315/SERVE--gpu_memory_utilization=0.92-max_model_len=1024-max_num_seqs=128-max_num_batched_tokens=8192-BENCH--random_input_len=256-random_output_len=128/max_concurrency=2/run=0.json,0,20260314-110627,short,Qwen/Qwen3-4B,Qwen/Qwen3-4B,vllm,vllm,400,inf,1.0,2,0.92,1024,128,8192,256,128,400,0,0.0,190.02835140097886,2.10494906181636,269.4334799124941,900.0000000000000,620.0000000000000,50.0000000000000,0.0,63.07574195845518,6.982592052317694,0.0,short|256|128|400|inf|1.0,vllm|vllm|Qwen/Qwen3-4B|Qwen/Qwen3-4B|||,unknown_gpu|unknown_vram|unknown_host,0.92|1024|128|8192|Qwen/Qwen3-4B,short|256|128|400|inf|1.0|0.92|1024|128|8192|Qwen/Qwen3-4B|2,False,True,1,2
